AGAP000404	AGAP000404-RA
AGAP000405	AGAP000405-RA
AGAP000406	AGAP000406-RA
AGAP000407	AGAP000407-RA
AGAP000408	AGAP000408-RA
AGAP000409	AGAP000409-RA
AGAP000410	AGAP000410-RA
AGAP000411	AGAP000411-RA
AGAP000412	AGAP000412-RA
AGAP000413	AGAP000413-RA
AGAP000414	AGAP000414-RA
AGAP000415	AGAP000415-RA
AGAP000416	AGAP000416-RA
AGAP000417	AGAP000417-RA
AGAP000418	AGAP000418-RA
AGAP000419	AGAP000419-RA
AGAP000420	AGAP000420-RA
AGAP000421	AGAP000421-RA
AGAP000422	AGAP000422-RA
AGAP000423	AGAP000423-RA
AGAP000424	AGAP000424-RA
AGAP000425	AGAP000425-RA
AGAP000426	AGAP000426-RA
AGAP000427	AGAP000427-RA
AGAP000428	AGAP000428-RA
AGAP000429	AGAP000429-RA
AGAP000430	AGAP000430-RA
AGAP000431	AGAP000431-RA
AGAP000432	AGAP000432-RA
AGAP000433	AGAP000433-RA
AGAP000434	AGAP000434-RA
AGAP000435	AGAP000435-RA
AGAP000436	AGAP000436-RA
AGAP000437	AGAP000437-RA
AGAP000438	AGAP000438-RA
AGAP000439	AGAP000439-RA
AGAP000440	AGAP000440-RA
AGAP000441	AGAP000441-RA
AGAP000442	AGAP000442-RA
AGAP000443	AGAP000443-RA
AGAP000444	AGAP000444-RA
AGAP000445	AGAP000445-RA
AGAP000446	AGAP000446-RA
AGAP000447	AGAP000447-RA
AGAP000448	AGAP000448-RA
AGAP000449	AGAP000449-RA
AGAP000450	AGAP000450-RA
AGAP000451	AGAP000451-RA
AGAP000452	AGAP000452-RA
AGAP000453	AGAP000453-RA
AGAP000454	AGAP000454-RA
AGAP000455	AGAP000455-RA
AGAP000456	AGAP000456-RA
AGAP000457	AGAP000457-RA
AGAP000458	AGAP000458-RA
AGAP000460	AGAP000460-RA
AGAP000461	AGAP000461-RA
AGAP000462	AGAP000462-RA
AGAP000463	AGAP000463-RA
AGAP000464	AGAP000464-RA
AGAP000465	AGAP000465-RA
AGAP000466	AGAP000466-RA
AGAP000467	AGAP000467-RA
AGAP000468	AGAP000468-RA
AGAP000469	AGAP000469-RA
AGAP000470	AGAP000470-RA
AGAP000471	AGAP000471-RA
AGAP000472	AGAP000472-RA
